"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"2137","2010","5","1","TRUE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2138","2012","4","1","FALSE","FALSE","FALSE","TRUE","FALSE","low","low","low","4"
"2139","2011","3","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2140","2011","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2141","2010","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2142","2012","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","high","high","6"
"2143","2010","5","1","FALSE","FALSE","FALSE","FALSE","FALSE","medium","medium","medium","6"
"2144","2013","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","6"
"2145","2012","3","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","medium","7"
"2146","2012","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2147","2011","5","2","FALSE","FALSE","FALSE","FALSE","TRUE","medium","high","medium","6"
"2148","2011","NA","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","7"
"2149","2011","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"2150","2013","4","2","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","8"
"2151","2013","5","0","TRUE","FALSE","FALSE","TRUE","FALSE","high","medium","high","8"
"2152","2017","5","0","TRUE","FALSE","FALSE","FALSE","FALSE","medium","medium","low","6"
"2153","2010","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2154","2011","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2155","2010","3","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","low","6"
"2156","2011","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","4"
"2157","2011","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","6"
"2158","2017","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2159","2010","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","low","medium","6"
"2160","2016","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2161","2010","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","medium","medium","medium","6"
"2162","2011","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","7"
"2163","2019","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","low","low","8"
"2164","2012","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","6"
"2165","2013","4","2","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2166","2017","3","1","TRUE","FALSE","FALSE","TRUE","FALSE","high","high","high","8"
"2167","2011","4","0","FALSE","FALSE","FALSE","TRUE","FALSE","medium","medium","medium","6"
"2168","2012","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","low","medium","medium","6"
"2169","2011","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2170","2019","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","7"
"2171","2016","4","2","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2172","2014","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"2173","2012","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","high","medium","6"
"2174","2011","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","high","7"
"2175","2020","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","7"
"2176","2018","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","high","low","medium","7"
"2177","2015","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","4"
"2178","2010","5","1","TRUE","FALSE","FALSE","FALSE","FALSE","high","low","high","8"
"2179","2011","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
